model_id,condition_id,harness_id,trials,usd_total,usd_per_trial,mean_api_calls,mean_wall_clock_seconds,mean_output_tokens
hosted_flashlite,channel_declaration_present,gated,18,0.27469652,0.015260917777777779,11.333333333333334,44.711,488.77777777777777
hosted_flashlite,control,autonomous,36,0.554875,0.015413194444444445,11.777777777777779,45.65072222222222,517.8611111111111
hosted_flashlite,control,gated,36,0.45105891,0.012529414166666666,10.5,42.96058333333333,437.5
hosted_flashlite,inconsistent_surface,autonomous,18,0.2429728,0.013498488888888889,11.166666666666666,44.22044444444444,483.05555555555554
hosted_flashlite,inconsistent_surface,gated,18,0.1594945,0.008860805555555556,9.333333333333334,39.30405555555555,417.05555555555554
hosted_flashlite,sbom_present,autonomous,18,0.26742405,0.014856891666666669,11.5,46.011944444444445,488.6666666666667
hosted_flashlite,sbom_present,gated,18,0.21007962,0.01167109,9.722222222222221,41.796055555555554,441.1666666666667
hosted_flashlite,signed_release_issuer_mismatch,autonomous,18,0.3264663,0.018137016666666665,12.5,46.14261111111111,598.6666666666666
hosted_flashlite,signed_release_issuer_mismatch,gated,18,0.1714924,0.009527355555555554,9.222222222222221,38.505,381.72222222222223
hosted_flashlite,signed_release_present,autonomous,18,0.33095883,0.018386601666666665,12.833333333333334,48.119166666666665,597.5
hosted_flashlite,signed_release_present,gated,18,0.2340688,0.013003822222222221,11.277777777777779,43.50061111111111,489.22222222222223
hosted_sonnet,all_signals_present,autonomous,18,1.9601583,0.10889768333333333,21.27777777777778,134.47283333333334,5086.888888888889
hosted_sonnet,all_signals_present,gated,18,1.7416156999999999,0.09675642777777776,20.5,112.93816666666666,4407.888888888889
hosted_sonnet,attestation_issuer_mismatch,autonomous,18,1.8871085,0.10483936111111111,21.38888888888889,147.96916666666667,4704.666666666667
hosted_sonnet,attestation_issuer_mismatch,gated,18,2.0512387,0.11395770555555555,21.555555555555557,123.61911111111112,5183.833333333333
hosted_sonnet,attestation_present,autonomous,18,2.0612163,0.11451201666666666,23.0,146.14855555555556,5422.833333333333
hosted_sonnet,attestation_present,gated,18,1.7911371,0.09950761666666667,21.333333333333332,113.80611111111112,4580.888888888889
hosted_sonnet,channel_declaration_present,autonomous,18,1.7242314,0.09579063333333333,20.166666666666668,132.63466666666667,4687.055555555556
hosted_sonnet,channel_declaration_present,gated,18,1.4360056,0.07977808888888889,17.666666666666668,90.94283333333334,3749.6111111111113
hosted_sonnet,control,autonomous,36,3.9952796,0.11097998888888888,21.305555555555557,143.43547222222222,5202.138888888889
hosted_sonnet,control,gated,36,3.4571947,0.09603318611111111,19.61111111111111,114.66202777777777,4907.055555555556
hosted_sonnet,inconsistent_surface,autonomous,18,1.7417593,0.09676440555555556,19.555555555555557,132.52705555555556,4825.277777777777
hosted_sonnet,inconsistent_surface,gated,18,2.0530217,0.11405676111111111,21.5,132.94566666666665,5734.777777777777
hosted_sonnet,sbom_present,autonomous,18,2.0785832,0.11547684444444445,21.22222222222222,137.0342777777778,5535.222222222223
hosted_sonnet,sbom_present,gated,18,1.6834391,0.09352439444444444,18.555555555555557,101.62627777777779,4546.0
hosted_sonnet,signed_release_issuer_mismatch,autonomous,18,1.7417793,0.09676551666666666,18.944444444444443,135.56405555555554,4755.277777777777
hosted_sonnet,signed_release_issuer_mismatch,gated,18,1.7458871,0.09699372777777777,20.22222222222222,113.76033333333334,4469.722222222223
hosted_sonnet,signed_release_present,autonomous,18,2.0217536,0.11231964444444444,21.166666666666668,147.88316666666665,5331.333333333333
hosted_sonnet,signed_release_present,gated,18,1.8454024,0.10252235555555556,21.38888888888889,110.95483333333334,4748.444444444444
local_openweight,all_signals_present,autonomous,60,0.0,0.0,2.0166666666666666,53.64661666666667,116.08333333333333
local_openweight,all_signals_present,gated,60,0.0,0.0,2.15,61.34008333333334,125.41666666666667
local_openweight,attestation_issuer_mismatch,autonomous,60,0.0,0.0,2.066666666666667,51.602,115.71666666666667
local_openweight,attestation_issuer_mismatch,gated,60,0.0,0.0,2.2,54.739716666666666,124.45
local_openweight,attestation_present,autonomous,60,0.0,0.0,2.0,45.59773333333333,109.76666666666667
local_openweight,attestation_present,gated,60,0.0,0.0,2.1166666666666667,58.04155,122.13333333333334
local_openweight,channel_declaration_present,autonomous,60,0.0,0.0,2.033333333333333,49.03458333333333,114.28333333333333
local_openweight,channel_declaration_present,gated,60,0.0,0.0,2.1333333333333333,54.08421666666666,122.85
local_openweight,control,autonomous,120,0.0,0.0,2.066666666666667,88.72895833333334,113.96666666666667
local_openweight,control,gated,120,0.0,0.0,2.125,70.62075833333333,122.19166666666666
local_openweight,inconsistent_surface,autonomous,60,0.0,0.0,2.0166666666666666,47.056000000000004,112.51666666666667
local_openweight,inconsistent_surface,gated,60,0.0,0.0,2.216666666666667,56.753566666666664,126.66666666666667
local_openweight,sbom_present,autonomous,60,0.0,0.0,2.05,55.44593333333333,112.9
local_openweight,sbom_present,gated,60,0.0,0.0,2.1166666666666667,57.04385,123.0
local_openweight,signed_release_issuer_mismatch,autonomous,60,0.0,0.0,2.1166666666666667,49.71468333333333,118.96666666666667
local_openweight,signed_release_issuer_mismatch,gated,60,0.0,0.0,2.1666666666666665,58.383833333333335,124.33333333333333
local_openweight,signed_release_present,autonomous,60,0.0,0.0,2.0833333333333335,61.02863333333333,112.38333333333334
local_openweight,signed_release_present,gated,60,0.0,0.0,2.2,61.39876666666667,125.51666666666667
